α,β,γ,δ,ε,η,θ,ι,κ,λ,μ,ν,π,ρ,σ,τ,φ,χ,ψ,ω
4,65,2,41,0,4,7,3,2,13,1,2,27,3,13,1,0,4,0,3
3,63,2,42,0,5,6,3,2,13,1,4,26,3,9,1,3,6,1,2
5,66,2,40,0,3,11,3,0,8,0,3,26,2,13,1,1,7,1,3
6,72,3,42,1,1,8,2,2,8,1,3,21,4,11,1,4,3,1,1
2,60,1,46,0,5,8,3,1,16,0,2,27,9,7,1,1,5,1,0
4,57,4,44,0,0,5,1,2,15,0,5,37,1,8,3,6,1,2,0
3,61,5,49,0,4,4,4,0,10,1,2,29,2,13,0,2,4,1,1
2,58,1,54,0,1,7,0,2,15,1,0,26,3,10,3,4,2,3,3
2,52,1,57,1,2,7,6,1,11,0,2,30,3,8,1,2,7,1,1
2,47,4,54,2,1,12,1,1,13,0,1,33,2,10,0,5,3,2,2
3,52,4,55,1,1,8,3,0,14,0,7,25,3,6,4,1,5,1,2
