name,ID,FTI_Faz_vs_cntr_Faz_p.val,FTI_Faz_vs_cntr_Faz_p.adj,significant,FTI_Faz_vs_cntr_Faz_significant,FTI_Faz_vs_cntr_Faz_ratio,cntr_Faz_centered,FTI_Faz_centered
APOL3,O95236,1.185839795007e-06,2.06e-09,True,True,-2.39,1.2,-1.2
BROX,Q5VW32,1.8152606235328502e-09,2.79e-14,True,True,-5.55,2.78,-2.78
CENPF,P49454,2.82347505362108e-05,0.000164,True,True,-5.35,2.67,-2.67
CEP85,Q6P2H3,9.692288075649231e-09,2.79e-14,True,True,-5.18,2.59,-2.59
CEP85L,Q5SZL2,5.1144211167446e-08,2.79e-14,True,True,-3.23,1.61,-1.61
CPA4,Q9UI42,0.0002207495297234,0.0118,True,True,-1.41,0.705,-0.705
DCAF8,Q5TAQ9,0.0001719676073714,0.00777,True,True,-4.13,2.07,-2.07
DNAJA1,P31689,2.45554632786236e-08,2.79e-14,True,True,-4.04,2.02,-2.02
DNAJA2,O60884,1.71156253407827e-07,2.79e-14,True,True,-4.06,2.03,-2.03
DNAJA4,Q8WW22,5.94010824163092e-09,2.79e-14,True,True,-8.04,4.02,-4.02
DPCD,Q9BVM2,2.19322332018001e-05,8.7e-05,True,True,-4.22,2.11,-2.11
EHBP1,Q8NDI1,0.0004660558672045,0.0362,True,True,-1.51,0.756,-0.756
EHBP1L1,Q8N3D4,1.04543662886199e-05,9.88e-06,True,True,-3.17,1.59,-1.59
EIF1,P41567,4.04030903758737e-05,0.000398,True,True,-0.622,0.311,-0.311
FAM219A,Q8IW50,8.62423890041668e-07,4.29e-10,True,True,-2.61,1.31,-1.31
GBP1,P32455,1.06980384356336e-08,2.79e-14,True,True,-4.73,2.36,-2.36
GNGT2,O14610,4.844425059802921e-09,2.79e-14,True,True,-4.37,2.19,-2.19
HRAS,P01112,0.0001768410505167,0.00813,True,True,-2.09,1.04,-1.04
INF2,Q27J81,5.21230979246459e-06,9.75e-07,True,True,-4.28,2.14,-2.14
KPNA2,P52292,0.0003674749393924,0.0259,True,True,-0.633,0.316,-0.316
KRAS,P01116,5.55647068708266e-06,1.2e-06,True,True,-2.06,1.03,-1.03
KRTAP13-1,Q8IUC0,8.88797638558889e-10,2.79e-14,True,True,-2.69,1.35,-1.35
LMNA,P02545,2.52126519569124e-05,0.000125,True,True,-1.36,0.68,-0.68
LMNB1,P20700,3.92622455651503e-10,2.79e-14,True,True,-4.74,2.37,-2.37
LMNB2,Q03252,2.40885640931248e-08,2.79e-14,True,True,-4.0,2.0,-2.0
LRRFIP1,Q32MZ4,1.13132626340593e-08,2.79e-14,True,True,-2.53,1.27,-1.27
MAPKAPK3,Q16644,4.35864040399564e-09,2.79e-14,True,True,-6.22,3.11,-3.11
NAP1L1,P55209,6.07806072822821e-09,2.79e-14,True,True,-4.5,2.25,-2.25
NAP1L4,Q99733,5.28164154611077e-06,1.02e-06,True,True,-1.79,0.895,-0.895
NRAS,P01111,1.53328423679231e-08,2.79e-14,True,True,-3.64,1.82,-1.82
PEX19,P40855,2.31717643560789e-07,2.19e-13,True,True,-4.42,2.21,-2.21
PRICKLE3,O43900,1.79302325633776e-07,5.08e-14,True,True,-3.98,1.99,-1.99
PTP4A1,Q93096,3.78470954120535e-06,3.1e-07,True,True,-1.83,0.913,-0.913
PTP4A2,Q12974,4.76322706558167e-07,1.83e-11,True,True,-2.45,1.23,-1.23
RAB28,P51157,2.16375460697574e-08,2.79e-14,True,True,-2.32,1.16,-1.16
RABGAP1,Q9Y3P9,6.27787939376452e-06,1.81e-06,True,True,-2.88,1.44,-1.44
RAP2A,P10114,4.39029731905786e-08,2.79e-14,True,True,-2.51,1.25,-1.25
RAP2C,Q9Y3L5,1.70350588258914e-07,2.79e-14,True,True,-4.56,2.28,-2.28
RHEB,Q15382,4.54346501182757e-09,2.79e-14,True,True,-3.3,1.65,-1.65
RHOH,Q15669,3.24642923664678e-06,1.74e-07,True,True,-4.44,2.22,-2.22
RIC1,Q4ADV7,1.8789580347248e-07,5.08e-14,True,True,-2.3,1.15,-1.15
RRAS2,P62070,0.0001151820011259,0.00381,True,True,-3.1,1.55,-1.55
SPDL1,Q96EA4,0.0001664734726971,0.00736,True,True,-2.61,1.31,-1.31
SPG20,Q8N0X7,0.0002156537852515,0.0114,True,True,-1.28,0.642,-0.642
ULK3,Q6PHR2,8.24933736854514e-07,3.48e-10,True,True,-2.58,1.29,-1.29
WBP2,Q969T9,6.54560808157987e-05,0.00119,True,True,-0.948,0.474,-0.474
WDTC1,Q8N5D0,6.849031627021151e-09,2.79e-14,True,True,-2.02,1.01,-1.01
YKT6,O15498,8.32720077567488e-07,3.64e-10,True,True,-2.71,1.36,-1.36
ZFAND2B,Q8WV99,3.4807435695137e-07,2.91e-12,True,True,-5.25,2.62,-2.62
